iter	Passed	Remaining
0	335	33208
1	607	29758
2	829	26836
3	1034	2482744	1256	2387255	1532	2400366	1766	2347477	1998	2297888	2202	2226599	2427	21843110	2687	21746111	2930	21492112	3142	21028113	3360	20640114	3593	20362115	3799	19945116	4014	19600117	4237	19303118	4456	18997119	4695	18783
20	4919	18506
21	5164	18312
22	5371	17984
23	5592	17708
24	5807	17421
25	6030	17162
26	6259	16922
27	6491	16693
28	6699	16402
29	6907	16117
30	7121	15850
31	7315	15546
32	7553	15334
33	7773	15090
34	7991	14842
35	8211	14598
36	8432	14357
37	8641	14099
38	8867	13870
39	9078	13617
40	9283	13359
41	9538	13172
42	9774	12956
43	9979	12700
44	10198	12465
45	10422	12235
46	10651	12010
47	10865	11771
48	11095	11548
49	11313	11313
50	11516	11064
51	11762	10857
52	11957	10603
53	12159	10358
54	12380	10129555	12599	9899556	12821	9672557	13058	9455
58	13249	9207559	13477	8984660	13692	8753661	13908	8524662	14120	8292663	14343	8067664	14564	7842665	14800	7624666	15007	7391667	15212	7158668	15463	6947669	15667	6714770	15898	6493771	16092	6258772	16316	6034773	16534	5809774	16762	5587775	16977	5361776	17195	5136777	17397	4907778	17611	4681779	17833	4458880	18055	4235881	18273	4011882	18485	3786883	18752	3571884	18990	3351885	19228	3130886	19453	2906887	19676	2683888	19884	2457889	20108	2234990	20316	2009991	20557	1787992	20797	1565993	21018	1341994	21239	1117995	21476	894996	21702	671997	21920	447998	22090	223999	22228	0
